WBID,year,method,Angler_days
00293VICT,1992,VILQ,19
00293VICT,1989,VILQ,0
00293VICT,2017,VILQ,0
00293VICT,2011,VILQ,0
00293VICT,2002,VILQ,0
00296VICT,1986,VILQ,0
00296VICT,1992,VILQ,200
00296VICT,2011,VILQ,0
00296VICT,2017,VILQ,107
00296VICT,1989,VILQ,0
00296VICT,2022,VILQ,0
00296VICT,2002,VILQ,0
00247VICT,2017,VILQ,250
00247VICT,2022,VILQ,450
00247VICT,2006,VILQ,943
00247VICT,1986,VILQ,645
00247VICT,1992,VILQ,1000
00247VICT,2011,VILQ,2432
00247VICT,1989,VILQ,316
00247VICT,2002,VILQ,2302
00256VICT,2011,VILQ,0
00256VICT,2022,VILQ,0
00256VICT,2017,VILQ,0
00255VICT,1992,VILQ,231
00255VICT,2022,VILQ,0
00255VICT,1986,VILQ,0
00255VICT,2002,VILQ,0
00255VICT,2017,VILQ,0
00255VICT,2011,VILQ,0
00255VICT,1989,VILQ,12
00214VICT,2006,VILQ,18364
00214VICT,1986,VILQ,8955
00214VICT,1989,VILQ,6547
00214VICT,2022,VILQ,14773
00214VICT,2011,VILQ,15936
00214VICT,1992,VILQ,10431
00214VICT,2017,VILQ,7028
00214VICT,2002,VILQ,15448
00239VICT,1989,VILQ,12
00239VICT,2017,VILQ,0
00239VICT,1992,VILQ,31
00239VICT,2011,VILQ,0
00239VICT,2006,VILQ,34
00239VICT,2022,VILQ,0
00239VICT,1986,VILQ,50
00239VICT,2002,VILQ,10
00225VICT,2011,VILQ,0
00225VICT,2022,VILQ,0
00225VICT,2017,VILQ,0
00240VICT,2017,VILQ,4031
00240VICT,1986,VILQ,1355
00240VICT,2011,VILQ,7732
00240VICT,1989,VILQ,1538
00240VICT,2022,VILQ,6138
00240VICT,2006,VILQ,10875
00240VICT,1992,VILQ,3638
00240VICT,2002,VILQ,9188
00235VICT,2011,VILQ,36
00235VICT,2002,VILQ,0
00235VICT,2017,VILQ,0
00235VICT,1989,VILQ,0
00235VICT,2022,VILQ,0
00235VICT,1992,VILQ,113
00235VICT,1986,VILQ,20
00223VICT,2017,VILQ,0
00223VICT,2022,VILQ,0
00223VICT,2011,VILQ,0
00236VICT,2022,VILQ,41
00236VICT,2002,VILQ,0
00236VICT,1989,VILQ,0
00236VICT,1986,VILQ,55
00236VICT,2011,VILQ,0
00236VICT,2017,VILQ,0
00236VICT,1992,VILQ,0
00236VICT,2006,VILQ,34
00195VICT,1992,VILQ,1700
00195VICT,1989,VILQ,1694
00195VICT,2011,VILQ,3812
00195VICT,2017,VILQ,3639
00195VICT,2006,VILQ,2818
00195VICT,2002,VILQ,1719
00195VICT,1986,VILQ,1160
00195VICT,2022,VILQ,4870
00212VICT,2022,VILQ,0
00212VICT,2017,VILQ,0
00212VICT,2011,VILQ,0
00201VICT,2022,VILQ,123
00201VICT,2011,VILQ,73
00201VICT,1992,VILQ,88
00201VICT,1989,VILQ,66
00201VICT,2017,VILQ,71
00201VICT,2006,VILQ,330
00201VICT,1986,VILQ,125
00201VICT,2002,VILQ,83
00078VICT,2011,VILQ,0
00078VICT,2022,VILQ,0
00078VICT,2017,VILQ,0
00059VICT,2022,VILQ,0
00059VICT,2011,VILQ,0
00059VICT,2017,VILQ,0
00043VICT,2002,VILQ,10
00043VICT,2006,VILQ,23
00043VICT,1992,VILQ,13
00043VICT,2011,VILQ,73
00043VICT,2017,VILQ,0
00043VICT,2022,VILQ,123
00043VICT,1986,VILQ,35
00043VICT,1989,VILQ,89
00034VICT,1989,VILQ,12
00034VICT,1992,VILQ,6
00034VICT,2017,VILQ,0
00034VICT,2002,VILQ,0
00034VICT,2022,VILQ,0
00034VICT,1986,VILQ,0
00034VICT,2006,VILQ,409
00034VICT,2011,VILQ,290
00038VICT,2022,VILQ,205
00038VICT,2017,VILQ,214
00038VICT,2002,VILQ,135
00038VICT,1989,VILQ,328
00038VICT,2011,VILQ,73
00038VICT,1992,VILQ,138
00038VICT,2006,VILQ,148
00038VICT,1986,VILQ,180
00028VICT,2017,VILQ,0
00028VICT,2011,VILQ,0
00028VICT,2002,VILQ,0
00028VICT,1989,VILQ,149
00028VICT,2006,VILQ,45
00028VICT,1992,VILQ,119
00028VICT,2022,VILQ,41
00028VICT,1986,VILQ,160
00029VICT,1986,VILQ,155
00029VICT,2017,VILQ,428
00029VICT,2022,VILQ,327
00029VICT,2006,VILQ,307
00029VICT,2002,VILQ,52
00029VICT,1992,VILQ,513
00029VICT,2011,VILQ,399
00029VICT,1989,VILQ,340
00026VICT,2017,VILQ,0
00026VICT,2002,VILQ,0
00026VICT,1986,VILQ,0
00026VICT,1989,VILQ,6
00026VICT,2011,VILQ,0
00026VICT,1992,VILQ,0
00026VICT,2022,VILQ,0
00022VICT,1989,VILQ,0
00022VICT,2002,VILQ,73
00022VICT,2017,VILQ,0
00022VICT,1986,VILQ,205
00022VICT,2006,VILQ,250
00022VICT,1992,VILQ,0
00022VICT,2022,VILQ,0
00022VICT,2011,VILQ,0
00015VICT,2022,VILQ,0
00015VICT,2011,VILQ,0
00015VICT,2017,VILQ,0
00008VICT,2002,VILQ,479
00008VICT,2006,VILQ,1227
00008VICT,2011,VILQ,2214
00008VICT,2017,VILQ,928
00008VICT,1992,VILQ,3288
00008VICT,2022,VILQ,1801
00008VICT,1989,VILQ,4687
00008VICT,1986,VILQ,1705
00305VICT,2017,VILQ,0
00305VICT,2011,VILQ,0
00305VICT,2022,VILQ,0
00345VICT,2011,VILQ,1997
00345VICT,2017,VILQ,0
00345VICT,2022,VILQ,1514
50001VICT,2011,VILQ,0
50001VICT,2022,VILQ,0
50001VICT,2017,VILQ,0
00052VICT,2022,VILQ,164
00052VICT,2011,VILQ,0
00052VICT,2017,VILQ,0
00153VICT,1989,VILQ,441
00153VICT,1986,VILQ,490
00153VICT,2002,VILQ,1135
00153VICT,2011,VILQ,2360
00153VICT,2022,VILQ,1269
00153VICT,2017,VILQ,1213
00153VICT,2006,VILQ,2045
00153VICT,1992,VILQ,781
00494COWN,1992,VILQ,6
00494COWN,2011,VILQ,0
00494COWN,2022,VILQ,82
00494COWN,1989,VILQ,66
00494COWN,2002,VILQ,0
00494COWN,1986,VILQ,85
00494COWN,2017,VILQ,0
00091VICT,2011,VILQ,5736
00091VICT,2017,VILQ,4281
00091VICT,1989,VILQ,6553
00091VICT,1992,VILQ,7313
00091VICT,2022,VILQ,7530
00091VICT,2006,VILQ,9523
00091VICT,2002,VILQ,6781
00091VICT,1986,VILQ,5365
00616COWN,2017,VILQ,36
00616COWN,1989,VILQ,400
00616COWN,2011,VILQ,182
00616COWN,1986,VILQ,570
00616COWN,2002,VILQ,229
00616COWN,2022,VILQ,0
00616COWN,1992,VILQ,456
00616COWN,2006,VILQ,193
00593COWN,2022,VILQ,900
00593COWN,1992,VILQ,788
00593COWN,2017,VILQ,1605
00593COWN,2011,VILQ,2686
00593COWN,2006,VILQ,1455
00593COWN,1989,VILQ,590
00593COWN,2002,VILQ,3583
00593COWN,1986,VILQ,620
00597COWN,1992,VILQ,275
00597COWN,2011,VILQ,1307
00597COWN,1989,VILQ,66
00597COWN,2002,VILQ,323
00597COWN,1986,VILQ,65
00597COWN,2022,VILQ,532
00597COWN,2006,VILQ,523
00597COWN,2017,VILQ,357
00608COWN,2017,VILQ,71
00608COWN,2002,VILQ,73
00608COWN,2011,VILQ,109
00608COWN,2006,VILQ,148
00608COWN,2022,VILQ,41
00608COWN,1992,VILQ,31
00608COWN,1986,VILQ,0
00608COWN,1989,VILQ,0
00575COWN,2022,VILQ,0
00575COWN,1992,VILQ,75
00575COWN,2011,VILQ,36
00575COWN,2017,VILQ,0
00575COWN,2006,VILQ,23
00575COWN,1986,VILQ,80
00575COWN,2002,VILQ,52
00575COWN,1989,VILQ,48
00523COWN,2017,VILQ,71
00523COWN,1989,VILQ,36
00523COWN,2006,VILQ,330
00523COWN,2002,VILQ,1417
00523COWN,1992,VILQ,256
00523COWN,2022,VILQ,41
00523COWN,2011,VILQ,145
00523COWN,1986,VILQ,95
00501COWN,1989,VILQ,417
00501COWN,2022,VILQ,0
00501COWN,1992,VILQ,806
00501COWN,1986,VILQ,345
00501COWN,2002,VILQ,906
00501COWN,2017,VILQ,107
00501COWN,2011,VILQ,653
00506COWN,2002,VILQ,448
00506COWN,2006,VILQ,91
00506COWN,2017,VILQ,0
00506COWN,1989,VILQ,72
00506COWN,1986,VILQ,10
00506COWN,2022,VILQ,0
00506COWN,1992,VILQ,0
00506COWN,2011,VILQ,36
00503COWN,1989,VILQ,107
00503COWN,2006,VILQ,57
00503COWN,1986,VILQ,220
00503COWN,2022,VILQ,82
00503COWN,2002,VILQ,31
00503COWN,2017,VILQ,36
00503COWN,1992,VILQ,56
00503COWN,2011,VILQ,73
00518COWN,2002,VILQ,2073
00518COWN,1992,VILQ,2750
00518COWN,2011,VILQ,944
00518COWN,1986,VILQ,2410
00518COWN,2022,VILQ,778
00518COWN,1989,VILQ,2326
00518COWN,2017,VILQ,285
00518COWN,2006,VILQ,636
00519COWN,2017,VILQ,107
00519COWN,2002,VILQ,1823
00519COWN,2011,VILQ,109
00519COWN,1989,VILQ,859
00519COWN,2006,VILQ,170
00519COWN,1986,VILQ,675
00519COWN,1992,VILQ,863
00519COWN,2022,VILQ,205
00456COWN,1989,VILQ,566
00456COWN,1986,VILQ,0
00456COWN,2017,VILQ,0
00456COWN,1992,VILQ,69
00456COWN,2002,VILQ,0
00456COWN,2022,VILQ,0
00456COWN,2006,VILQ,193
00456COWN,2011,VILQ,73
00408COWN,1989,VILQ,17370
00408COWN,2006,VILQ,12443
00408COWN,2011,VILQ,12524
00408COWN,1986,VILQ,16220
00408COWN,1992,VILQ,24206
00408COWN,2022,VILQ,15223
00408COWN,2017,VILQ,8241
00408COWN,2002,VILQ,14885
00423COWN,1992,VILQ,0
00423COWN,2022,VILQ,0
00423COWN,1986,VILQ,0
00423COWN,2002,VILQ,31
00423COWN,2011,VILQ,0
00423COWN,2017,VILQ,0
00423COWN,1989,VILQ,12
00418COWN,2011,VILQ,4284
00418COWN,1992,VILQ,738
00418COWN,2002,VILQ,2792
00418COWN,1989,VILQ,805
00418COWN,2017,VILQ,3746
00418COWN,1986,VILQ,435
00418COWN,2006,VILQ,2125
00418COWN,2022,VILQ,1719
00420COWN,2017,VILQ,6921
00420COWN,1989,VILQ,1085
00420COWN,2022,VILQ,5852
00420COWN,2002,VILQ,7313
00420COWN,2011,VILQ,10999
00420COWN,2006,VILQ,6602
00420COWN,1992,VILQ,1163
00420COWN,1986,VILQ,770
00430COWN,1989,VILQ,167
00430COWN,2017,VILQ,36
00430COWN,2006,VILQ,136
00430COWN,2022,VILQ,0
00430COWN,1992,VILQ,238
00430COWN,1986,VILQ,90
00430COWN,2011,VILQ,36
00430COWN,2002,VILQ,94
00421COWN,1989,VILQ,155
00421COWN,1992,VILQ,75
00421COWN,2017,VILQ,0
00421COWN,1986,VILQ,185
00421COWN,2002,VILQ,21
00421COWN,2006,VILQ,23
00421COWN,2022,VILQ,0
00421COWN,2011,VILQ,36
00040SANJ,1989,VILQ,322
00040SANJ,2011,VILQ,944
00040SANJ,2006,VILQ,511
00040SANJ,2017,VILQ,357
00040SANJ,2022,VILQ,573
00040SANJ,2002,VILQ,667
00040SANJ,1992,VILQ,275
00040SANJ,1986,VILQ,245
00407COWN,2017,VILQ,0
00407COWN,2011,VILQ,36
00407COWN,2006,VILQ,34
00407COWN,2022,VILQ,41
00034SANJ,1992,VILQ,100
00034SANJ,2002,VILQ,63
00034SANJ,1986,VILQ,215
00034SANJ,2017,VILQ,71
00034SANJ,2011,VILQ,109
00034SANJ,2022,VILQ,205
00034SANJ,1989,VILQ,441
00034SANJ,2006,VILQ,193
00402COWN,1986,VILQ,715
00402COWN,1989,VILQ,338
00402COWN,2002,VILQ,0
00402COWN,2022,VILQ,0
00402COWN,2017,VILQ,0
00402COWN,2011,VILQ,0
00402COWN,1992,VILQ,119
00399COWN,2017,VILQ,0
00399COWN,2011,VILQ,0
00399COWN,2022,VILQ,0
00393COWN,1989,VILQ,30
00393COWN,2017,VILQ,36
00393COWN,2011,VILQ,182
00393COWN,2002,VILQ,115
00393COWN,1992,VILQ,13
00393COWN,2006,VILQ,159
00393COWN,1986,VILQ,35
00393COWN,2022,VILQ,0
00386COWN,1986,VILQ,20
00386COWN,1989,VILQ,0
00386COWN,2006,VILQ,102
00386COWN,2022,VILQ,0
00386COWN,1992,VILQ,6
00386COWN,2011,VILQ,36
00386COWN,2002,VILQ,10
00386COWN,2017,VILQ,0
00382COWN,2022,VILQ,0
00382COWN,2011,VILQ,0
00382COWN,2017,VILQ,0
00387COWN,2002,VILQ,52
00387COWN,2006,VILQ,239
00387COWN,1992,VILQ,219
00387COWN,1986,VILQ,100
00387COWN,2022,VILQ,0
00387COWN,2011,VILQ,109
00387COWN,1989,VILQ,83
00387COWN,2017,VILQ,36
00027SANJ,1986,VILQ,15
00027SANJ,2022,VILQ,0
00027SANJ,1992,VILQ,0
00027SANJ,1989,VILQ,6
00027SANJ,2011,VILQ,0
00027SANJ,2006,VILQ,23
00027SANJ,2017,VILQ,0
00027SANJ,2002,VILQ,0
00390COWN,2011,VILQ,145
00390COWN,2006,VILQ,523
00390COWN,2002,VILQ,427
00390COWN,2017,VILQ,0
00390COWN,1989,VILQ,36
00390COWN,1986,VILQ,50
00390COWN,2022,VILQ,41
00390COWN,1992,VILQ,13
00349COWN,2002,VILQ,0
00349COWN,2022,VILQ,0
00349COWN,1986,VILQ,0
00349COWN,2017,VILQ,0
00349COWN,1992,VILQ,38
00349COWN,2011,VILQ,0
00349COWN,1989,VILQ,0
00302COWN,2011,VILQ,36
00302COWN,2017,VILQ,36
00302COWN,1986,VILQ,345
00302COWN,2022,VILQ,0
00302COWN,1992,VILQ,269
00302COWN,1989,VILQ,453
00302COWN,2002,VILQ,313
00302COWN,2006,VILQ,91
00309COWN,2017,VILQ,0
00309COWN,2022,VILQ,0
00309COWN,1989,VILQ,185
00309COWN,2011,VILQ,0
00309COWN,1992,VILQ,6
00309COWN,2002,VILQ,31
00309COWN,1986,VILQ,635
00309COWN,2006,VILQ,23
00313COWN,1992,VILQ,569
00313COWN,1986,VILQ,200
00313COWN,2022,VILQ,0
00313COWN,1989,VILQ,722
00313COWN,2006,VILQ,205
00313COWN,2017,VILQ,0
00313COWN,2011,VILQ,73
00313COWN,2002,VILQ,1146
00289COWN,2022,VILQ,0
00289COWN,2011,VILQ,73
00289COWN,1989,VILQ,13
00289COWN,1992,VILQ,0
00289COWN,1986,VILQ,22
00289COWN,2002,VILQ,31
00289COWN,2017,VILQ,0
00280COWN,2022,VILQ,41
00280COWN,1992,VILQ,544
00280COWN,1989,VILQ,382
00280COWN,1986,VILQ,280
00280COWN,2006,VILQ,489
00280COWN,2017,VILQ,36
00280COWN,2002,VILQ,677
00280COWN,2011,VILQ,36
00286COWN,1992,VILQ,0
00286COWN,2017,VILQ,0
00286COWN,1989,VILQ,30
00286COWN,2022,VILQ,0
00286COWN,1986,VILQ,0
00286COWN,2011,VILQ,0
00286COWN,2002,VILQ,31
00206COWN,2002,VILQ,63
00206COWN,1992,VILQ,100
00206COWN,2006,VILQ,182
00206COWN,1989,VILQ,853
00206COWN,2011,VILQ,73
00206COWN,2017,VILQ,0
00206COWN,2022,VILQ,82
00206COWN,1986,VILQ,810
00203COWN,1989,VILQ,584
00203COWN,2002,VILQ,958
00203COWN,2022,VILQ,41
00203COWN,2011,VILQ,254
00203COWN,1992,VILQ,950
00203COWN,2017,VILQ,285
00203COWN,1986,VILQ,640
00203COWN,2006,VILQ,523
00204COWN,2011,VILQ,4175
00204COWN,1992,VILQ,2138
00204COWN,1989,VILQ,3822
00204COWN,2017,VILQ,2890
00204COWN,2022,VILQ,2660
00204COWN,2006,VILQ,2261
00204COWN,1986,VILQ,700
00204COWN,2002,VILQ,2135
00180COWN,2006,VILQ,57
00180COWN,1986,VILQ,80
00180COWN,2002,VILQ,52
00180COWN,2022,VILQ,0
00180COWN,1992,VILQ,44
00180COWN,1989,VILQ,36
00180COWN,2017,VILQ,36
00180COWN,2011,VILQ,145
00772PARK,2022,VILQ,0
00772PARK,1989,VILQ,0
00772PARK,2017,VILQ,0
00772PARK,1992,VILQ,19
00772PARK,1986,VILQ,70
00772PARK,2011,VILQ,0
00772PARK,2002,VILQ,0
00183COWN,1989,VILQ,0
00183COWN,2011,VILQ,0
00183COWN,2002,VILQ,0
00183COWN,1992,VILQ,6
00183COWN,1986,VILQ,0
00183COWN,2022,VILQ,0
00183COWN,2017,VILQ,0
00151COWN,1992,VILQ,194
00151COWN,1989,VILQ,161
00151COWN,2017,VILQ,107
00151COWN,2006,VILQ,216
00151COWN,2011,VILQ,36
00151COWN,1986,VILQ,265
00151COWN,2022,VILQ,0
00151COWN,2002,VILQ,94
00567PARK,2011,VILQ,0
00567PARK,1992,VILQ,0
00567PARK,1986,VILQ,10
00567PARK,2002,VILQ,21
00567PARK,2017,VILQ,0
00567PARK,2022,VILQ,0
00567PARK,1989,VILQ,0
00182COWN,2011,VILQ,0
00182COWN,2022,VILQ,0
00182COWN,2017,VILQ,0
00143COWN,2017,VILQ,0
00143COWN,2002,VILQ,42
00143COWN,1989,VILQ,0
00143COWN,1992,VILQ,0
00143COWN,1986,VILQ,10
00143COWN,2022,VILQ,0
00143COWN,2011,VILQ,0
00132COWN,2002,VILQ,3115
00132COWN,2022,VILQ,164
00132COWN,2017,VILQ,1249
00132COWN,2011,VILQ,1670
00132COWN,1986,VILQ,995
00132COWN,1989,VILQ,835
00132COWN,2006,VILQ,989
00132COWN,1992,VILQ,1631
00188COWN,1986,VILQ,0
00188COWN,2022,VILQ,0
00188COWN,2017,VILQ,0
00188COWN,2011,VILQ,0
00188COWN,1989,VILQ,0
00188COWN,1992,VILQ,100
00188COWN,2002,VILQ,0
00163COWN,2017,VILQ,0
00163COWN,2022,VILQ,0
00163COWN,2011,VILQ,0
00118COWN,1989,VILQ,3828
00118COWN,2006,VILQ,4364
00118COWN,2002,VILQ,2427
00118COWN,2022,VILQ,2210
00118COWN,2011,VILQ,4392
00118COWN,1986,VILQ,2640
00118COWN,1992,VILQ,4225
00118COWN,2017,VILQ,1962
00111COWN,2022,VILQ,0
00111COWN,1992,VILQ,881
00111COWN,2006,VILQ,352
00111COWN,2011,VILQ,399
00111COWN,1989,VILQ,722
00111COWN,1986,VILQ,180
00111COWN,2002,VILQ,458
00111COWN,2017,VILQ,678
00767PARK,2017,VILQ,0
00767PARK,1992,VILQ,0
00767PARK,1986,VILQ,30
00767PARK,1989,VILQ,60
00767PARK,2011,VILQ,0
00767PARK,2022,VILQ,0
00767PARK,2002,VILQ,0
00749PARK,1986,VILQ,250
00749PARK,1989,VILQ,346
00749PARK,2022,VILQ,41
00749PARK,2002,VILQ,344
00749PARK,2006,VILQ,136
00749PARK,2017,VILQ,36
00749PARK,2011,VILQ,182
00749PARK,1992,VILQ,281
00752PARK,2002,VILQ,0
00752PARK,2011,VILQ,0
00752PARK,1986,VILQ,10
00752PARK,1989,VILQ,6
00752PARK,2022,VILQ,41
00752PARK,2006,VILQ,80
00752PARK,2017,VILQ,0
00752PARK,1992,VILQ,69
00720PARK,2006,VILQ,205
00720PARK,1986,VILQ,85
00720PARK,1992,VILQ,656
00720PARK,2011,VILQ,109
00720PARK,2022,VILQ,0
00720PARK,1989,VILQ,143
00720PARK,2002,VILQ,31
00720PARK,2017,VILQ,0
00740PARK,2017,VILQ,0
00740PARK,2011,VILQ,0
00740PARK,2022,VILQ,0
00740PARK,1992,VILQ,19
00740PARK,1986,VILQ,105
00740PARK,2006,VILQ,148
00740PARK,1989,VILQ,42
00740PARK,2002,VILQ,42
00032COWN,2006,VILQ,170
00032COWN,2011,VILQ,109
00032COWN,1986,VILQ,25
00032COWN,1992,VILQ,25
00032COWN,2022,VILQ,0
00032COWN,2002,VILQ,42
00032COWN,1989,VILQ,30
00032COWN,2017,VILQ,0
00023COWN,2022,VILQ,0
00023COWN,2017,VILQ,0
00023COWN,2002,VILQ,21
00023COWN,1992,VILQ,44
00023COWN,2011,VILQ,36
00023COWN,2006,VILQ,57
00023COWN,1989,VILQ,113
00023COWN,1986,VILQ,45
00020COWN,2002,VILQ,10
00020COWN,1989,VILQ,6
00020COWN,1986,VILQ,10
00020COWN,2022,VILQ,0
00020COWN,2017,VILQ,0
00020COWN,2011,VILQ,0
00020COWN,1992,VILQ,169
00668PARK,2006,VILQ,6625
00668PARK,1989,VILQ,2564
00668PARK,2002,VILQ,2510
00668PARK,2022,VILQ,3397
00668PARK,1992,VILQ,3763
00668PARK,2011,VILQ,7660
00668PARK,2017,VILQ,5030
00668PARK,1986,VILQ,2020
00364COWN,2017,VILQ,0
00364COWN,2002,VILQ,125
00364COWN,2022,VILQ,0
00364COWN,1992,VILQ,50
00364COWN,1986,VILQ,160
00364COWN,1989,VILQ,66
00364COWN,2006,VILQ,136
00364COWN,2011,VILQ,0
00253COWN,1986,VILQ,0
00253COWN,2002,VILQ,0
00253COWN,2017,VILQ,0
00253COWN,2022,VILQ,0
00253COWN,2011,VILQ,0
00253COWN,1989,VILQ,0
00253COWN,1992,VILQ,6
00164COWN,1989,VILQ,30
00164COWN,1992,VILQ,38
00164COWN,2017,VILQ,0
00164COWN,2006,VILQ,136
00164COWN,2002,VILQ,52
00164COWN,2022,VILQ,0
00164COWN,1986,VILQ,80
00164COWN,2011,VILQ,36
00610PARK,2017,VILQ,250
00610PARK,2006,VILQ,250
00610PARK,1986,VILQ,195
00610PARK,1989,VILQ,394
00610PARK,2011,VILQ,290
00610PARK,2002,VILQ,458
00610PARK,2022,VILQ,164
00610PARK,1992,VILQ,656
00631PARK,2022,VILQ,0
00631PARK,1992,VILQ,75
00631PARK,1986,VILQ,10
00631PARK,2006,VILQ,23
00631PARK,2017,VILQ,0
00631PARK,1989,VILQ,18
00631PARK,2011,VILQ,73
00631PARK,2002,VILQ,104
00633PARK,1992,VILQ,213
00633PARK,2011,VILQ,0
00633PARK,2002,VILQ,73
00633PARK,2022,VILQ,0
00633PARK,1989,VILQ,78
00633PARK,2017,VILQ,0
00633PARK,1986,VILQ,0
00633PARK,2006,VILQ,114
00605PARK,2006,VILQ,511
00605PARK,2002,VILQ,531
00605PARK,2017,VILQ,36
00605PARK,2022,VILQ,41
00605PARK,1986,VILQ,20
00605PARK,1992,VILQ,144
00605PARK,2011,VILQ,218
00605PARK,1989,VILQ,197
00581PARK,2022,VILQ,123
00581PARK,1989,VILQ,716
00581PARK,2011,VILQ,290
00581PARK,1992,VILQ,563
00581PARK,2006,VILQ,261
00581PARK,2017,VILQ,36
00581PARK,2002,VILQ,219
00581PARK,1986,VILQ,120
00525PARK,1989,VILQ,3649
00525PARK,2002,VILQ,1021
00525PARK,1992,VILQ,2344
00525PARK,2006,VILQ,1159
00525PARK,2022,VILQ,1555
00525PARK,1986,VILQ,1255
00525PARK,2011,VILQ,2686
00525PARK,2017,VILQ,1320
00524PARK,2017,VILQ,143
00524PARK,2011,VILQ,254
00524PARK,2022,VILQ,164
00524PARK,2002,VILQ,323
00524PARK,2006,VILQ,193
00524PARK,1986,VILQ,120
00524PARK,1992,VILQ,325
00524PARK,1989,VILQ,66
00495PARK,2006,VILQ,4898
00495PARK,1989,VILQ,1998
00495PARK,2011,VILQ,3630
00495PARK,2022,VILQ,4461
00495PARK,2017,VILQ,2854
00495PARK,1986,VILQ,170
00495PARK,1992,VILQ,2450
00495PARK,2002,VILQ,2656
00531PARK,2002,VILQ,323
00531PARK,1986,VILQ,120
00531PARK,1992,VILQ,63
00531PARK,1989,VILQ,215
00531PARK,2022,VILQ,41
00531PARK,2006,VILQ,136
00531PARK,2011,VILQ,0
00531PARK,2017,VILQ,107
